指标ID,指标名称,指标类型,业务定义,计算逻辑,统计粒度,问题,确认状态
M001,生产异常农户数,原子指标,当前存在生产异常的养户数量,count(distinct fk_wens_basedatafield) where fk_wens_status in ('1','3'),养户,,已确认
M002,持续中预警农户数,原子指标,预警状态为持续中的养户数量,count(distinct fk_wens_basedatafield) where fk_wens_status = '1',养户,,已确认
M003,需巡查农户数,原子指标,预警状态为持续中且需要巡查的养户数量,count(distinct fk_wens_basedatafield) where fk_wens_status = '1' and fk_wens_is_generate_ticke = '是',养户,,已确认
M004,无需巡查农户数,原子指标,预警状态为持续中且无需巡查的养户数量,count(distinct fk_wens_basedatafield) where fk_wens_status = '1' and fk_wens_is_generate_ticke = '否',养户,,已确认
M005,今日仅通知农户数,原子指标,当前时间下预警状态为仅通知的养户数量,count(distinct fk_wens_basedatafield) where fk_wens_status = '3',养户,当前状态为仅通知的养户数,已确认
M006,总养户数,原子指标,当前有效的养户总数,count(distinct fmasterid) where fenable = '1' and fk_wens_status = '1' and fstatus = 'C',养户,可用状态+在养状态+已审核状态,已确认
M007,预警关闭数,原子指标,预警状态为已关闭的记录数,count(*) where fk_wens_status = '2',预警记录,,已确认
M008,预警总数,原子指标,预警记录总数,count(*),预警记录,,已确认
M009,平均持续时长,原子指标,预警持续时长的平均值,avg(fk_wens_duration),预警记录,,已确认
M010,巡查工单已完成数,原子指标,巡查工单状态为已完成的记录数,count(*) where fk_wens_atrol_ticket_stat = '2',巡查工单,,已确认
M011,巡查工单总数,原子指标,巡查工单总数,count(*),巡查工单,,已确认
M012,复发记录数,原子指标,7天内复发的预警记录数,根据组织、养户、猪群、预警指标、预警等级判断7天内复发（不排除已关闭状态）,预警记录,7天复发率的判断逻辑,已确认
M013,风险大类记录数,原子指标,按风险大类统计的记录数,count(*) group by risk_category,巡查工单分录,,已确认
M014,策略采纳记录数,原子指标,策略是否采纳为"是"的记录数,count(*) where is_adopt = '1',巡查工单分录,,已确认
C001,生产异常农户占比,复合指标,异常农户占总养户的比例,M001 / M006,养户,,已确认
C002,预警关闭占比,复合指标,已关闭预警占总预警的比例,M007 / M008,预警记录,,已确认
C003,有效干涉率,复合指标,巡查工单完成率,有已完成工单的预警数 / 预警总数,预警记录,按照预警记录数量计算,已确认
C004,7天复发率,复合指标,7天内复发预警的比例,M012 / M008,预警记录,,已确认
C005,风险大类占比,复合指标,各风险大类的分布比例,M013 / 预警总数,预警记录,按照预警总数计算,已确认
C006,策略采纳率,复合指标,策略被采纳的比例,M014 / 预警总数,预警记录,,已确认
T001,预警类型趋势,趋势指标,按预警指标分类的异常养户数趋势,按月份、预警指标统计异常养户数,预警指标,按月粒度统计,已确认
T002,预警等级趋势,趋势指标,按预警等级分类的异常养户数趋势,按月份、预警等级统计异常养户数,预警等级,按月粒度统计,已确认
T003,平均持续时长趋势,趋势指标,平均持续时长的月度趋势,按月份统计平均持续时长,-,,已确认
T004,7天复发率趋势,趋势指标,7天复发率的月度趋势,按月份统计7天复发率,-,,已确认
T005,有效干涉率趋势,趋势指标,有效干涉率的月度趋势,按月份统计有效干涉率,-,,已确认
